Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal Longitude,Decimal Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C),Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125 Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2440 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms
10,Red clay,23,10,0,N,38,42,0,W,-38.7,23.166666666666668,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,28/02/1873,,2720.0,2.5,36.5,2720.0,1.02959,21.666666666666668,71.0,1.02617,71.8,71.8,,71.8,71.6,71.4,71.2,70.5,,69.3,68.2,67.0,,,,,,,,,,,,58.0,,,,52.5,48.0,44.5,42.2,40.8,40.0,39.6,39.2,38.9,38.6,38.2,,37.9,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Globigerina ooze,22,45,0,N,40,37,0,W,-40.61666666666667,22.75,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,01/03/1873,Dredge,2575.0,2.5,36.5,2575.0,1.02821,22.333333333333336,72.2,1.02614,,72.1,,,72.0,,72.0,,,71.2,,67.9,,64.5,,,61.3,,59.8,,,59.2,,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Globigerina ooze,21,57,0,N,43,29,0,W,-43.483333333333334,21.95,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,03/03/1873,Dredge,2025.0,2.7222222222222214,36.9,2025.0,1.02845,22.77777777777778,73.0,1.02575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Globigerina ooze,21,38,0,N,44,39,0,W,-44.65,21.633333333333333,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,04/03/1873,Dredge,1900.0,2.666666666666665,36.8,1900.0,1.02899,22.22222222222222,72.0,1.02607,,,,,,,,,,,,66.0,,,,,,,,,,,,60.3,,,,54.5,49.5,45.0,42.0,40.5,39.7,39.1,38.7,38.3,38.0,37.7,,37.4,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Globigerina ooze,21,1,0,N,46,29,0,W,-46.483333333333334,21.016666666666666,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,05/03/1873,Trawl,1950.0,2.666666666666665,36.8,,,23.333333333333332,74.0,1.02553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Globigerina ooze,20,49,0,N,48,45,0,W,-48.75,20.816666666666666,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,06/03/1873,,2325.0,2.333333333333335,36.2,2325.0,1.02818,22.5,72.5,1.02589,,,,,,,,,,,,66.5,,,,,,,,,,,,60.3,,,,53.8,47.5,43.2,41.6,40.7,40.2,39.8,39.3,38.8,38.3,37.9,,37.5,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Globigerina ooze,20,39,0,N,50,33,0,W,-50.55,20.65,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,07/03/1873,Dredge,2435.0,2.333333333333335,36.2,2435.0,1.02959,23.333333333333332,74.0,1.02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Globigerina ooze,20,7,0,N,52,32,0,W,-52.53333333333333,20.116666666666667,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,08/03/1873,,2385.0,2.5,36.5,,,23.333333333333332,74.0,1.02564,,,,,,,,,,,,69.5,,,,,,,,,,,,62.0,,,,54.5,48.5,44.7,42.5,41.2,40.4,39.9,39.4,39.0,38.5,38.0,,37.5,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Red clay,19,41,0,N,55,13,0,W,-55.21666666666667,19.683333333333334,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,10/03/1873,Dredge,2650.0,2.2222222222222223,36.0,2650.0,1.02818,23.333333333333332,74.0,1.0253,,,,,,73.5,,,,,,69.8,,,,,,64.5,,,,,,60.0,,56.7,,53.5,47.8,43.2,41.2,40.4,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Red clay,19,15,0,N,57,47,0,W,-57.78333333333333,19.25,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,11/03/1873,,3000.0,1.9444444444444444,35.5,3000.0,1.02819,23.88888888888889,75.0,1.02509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Red clay,18,56,0,N,59,35,0,W,-59.583333333333336,18.933333333333334,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,12/03/1873,Dredge,2975.0,2.2222222222222223,36.0,2975.0,1.0293,23.88888888888889,75.0,1.02508,,,,,,,,,,,,68.5,,,,,,,,,,,,59.8,,,,49.7,45.0,42.5,41.2,40.5,39.8,39.3,38.8,38.3,37.8,37.3,,36.8,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Red clay,18,54,0,N,61,28,0,W,-61.46666666666667,18.9,Off Leeward Islands (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,13/03/1873,,3025.0,1.9444444444444444,35.5,3025.0,1.02899,24.444444444444443,76.0,1.02451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pteropod ooze,18,40,0,N,62,56,0,W,-62.93333333333333,18.666666666666668,N of Anguilla Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,14/03/1873,Trawl,1420.0,3.5555555555555545,38.4,,,24.444444444444443,76.0,1.02464,,,,,,,,,,,,69.0,,,,,,,,,,,,61.5,,,,54.3,48.9,45.2,43.0,41.2,40.0,39.5,39.2,39.0,38.7,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pteropod ooze,18,24,0,N,63,28,0,W,-63.46666666666667,18.4,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,450.0,,,,,24.444444444444443,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23A,Pteropod ooze,18,26,0,N,63,31,15,W,-63.520833333333336,18.433333333333334,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,460.0,,,,,24.444444444444443,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23B,Pteropod ooze,18,28,0,N,63,35,0,W,-63.583333333333336,18.466666666666665,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,590.0,,,,,24.444444444444443,76.0,1.02459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pteropod ooze,18,38,30,N,65,5,30,W,-65.09166666666667,18.641666666666666,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,25/03/1873,Dredge,390.0,,,,,24.444444444444443,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24A,,18,43,30,N,65,5,0,W,-65.08333333333333,18.725,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,25/03/1873,Dredge,625.0,,,,,24.444444444444443,76.0,1.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Red clay,19,41,0,N,65,7,0,W,-65.11666666666666,19.683333333333334,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,26/03/1873,Dredge,3875.0,,,3875.0,,24.444444444444443,76.0,1.02458,,,,,,,,,,,,68.8,,,,,,,,,,,,61.5,,,,54.0,47.4,41.5,40.0,39.0,38.7,38.7,38.5,38.3,38.1,37.9,,37.7,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Red clay,21,26,0,N,65,16,0,W,-65.26666666666667,21.433333333333334,Sargasso Sea,31,Western Central Atlantic Ocean,,,27/03/1873,,2800.0,,,2800.0,,24.444444444444443,76.0,1.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Red clay,22,49,0,N,65,19,0,W,-65.31666666666666,22.816666666666666,Sargasso Sea,31,Western Central Atlantic Ocean,,,28/03/1873,,2960.0,2.333333333333335,36.2,2960.0,1.02803,24.166666666666664,75.5,1.02484,,,,,,,,,,,,72.5,,,,,,,,,,,,64.7,,,,57.0,49.7,45.0,42.2,40.8,40.0,39.4,39.0,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Red clay,24,39,0,N,65,25,0,W,-65.41666666666667,24.65,Sargasso Sea,31,Western Central Atlantic Ocean,,,29/03/1873,Dredge,2850.0,2.388888888888887,36.3,2850.0,,23.88888888888889,75.0,1.02491,,,,,,74.0,,,,,,67.2,,,,,,64.6,,,,,,63.5,,,,58.3,51.8,45.2,42.3,41.0,40.0,39.5,39.1,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Red clay,27,49,0,N,64,59,0,W,-64.98333333333333,27.816666666666666,Sargasso Sea,31,Western Central Atlantic Ocean,,,31/03/1873,Dredge,2700.0,2.4444444444444438,36.4,2700.0,1.02809,22.22222222222222,72.0,1.02571,73.0,72.5,,71.4,70.3,69.4,68.4,67.4,,66.4,65.5,64.5,,,,,,63.8,,,,,,62.8,,61.2,,58.0,50.9,44.7,41.7,40.5,39.8,39.3,38.9,38.6,38.3,38.0,,37.7,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Red clay,29,5,0,N,65,1,0,W,-65.01666666666667,29.083333333333332,Sargasso Sea,31,Western Central Atlantic Ocean,,,01/04/1873,,2600.0,2.5,36.5,2600.0,1.0298,22.22222222222222,72.0,1.02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Globigerina ooze,31,24,0,N,65,0,0,W,-65.0,31.4,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,2475.0,2.5,36.5,2475.0,1.02857,20.833333333333332,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Globigerina ooze,31,49,0,N,64,55,0,W,-64.91666666666667,31.816666666666666,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,2250.0,2.6111111111111125,36.7,2250.0,1.02805,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32A,Coral mud,32,1,0,N,64,51,0,W,-64.85,32.016666666666666,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,1820.0,,,,,20.0,68.0,1.02619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32B,Coral mud,32,10,0,N,64,52,0,W,-64.86666666666666,32.166666666666664,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,950.0,,,,,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32C,Coral mud,32,17,30,N,64,39,5,W,-64.65138888888889,32.291666666666664,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,780.0,,,,,19.444444444444443,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32D,Coral mud,32,19,0,N,64,40,0,W,-64.66666666666667,32.31666666666667,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,380.0,,,,,19.444444444444443,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32E,Coral mud,32,19,30,N,64,40,35,W,-64.6763888888889,32.325,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,120.0,,,,,19.72222222222222,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32F,Hard ground,32,20,40,N,64,38,15,W,-64.6375,32.34444444444445,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,125.0,,,,,19.72222222222222,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32G,Hard ground,32,21,25,N,64,37,15,W,-64.62083333333332,32.356944444444444,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,265.0,,,,,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Coral mud,32,21,30,N,64,35,55,W,-64.59861111111111,32.358333333333334,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,435.0,,,,,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33A,Coral sand,32,31,10,N,64,42,55,W,-64.71527777777779,32.519444444444446,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,175.0,,,,,19.555555555555557,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33B,Coral sand,32,32,30,N,64,46,0,W,-64.76666666666667,32.541666666666664,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,640.0,,,,,19.555555555555557,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Coral sand,32,33,55,N,64,52,18,W,-64.87166666666666,32.56527777777777,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,1370.0,,,,,19.555555555555557,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35A,Globigerina ooze,32,39,0,N,65,6,0,W,-65.1,32.65,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,2450.0,2.5,36.5,,,19.888888888888886,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35B,Globigerina ooze,32,26,0,N,65,9,0,W,-65.15,32.43333333333333,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,2100.0,2.5,36.5,,,20.0,68.0,1.02604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35C,Globigerina ooze,32,15,0,N,65,8,0,W,-65.13333333333334,32.25,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,1950.0,,,,,20.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coral mud,32,7,25,N,65,4,0,W,-65.06666666666666,32.12361111111111,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,23/04/1873,Dredge,30.0,,,,,19.72222222222222,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Globigerina ooze,32,18,0,N,65,38,0,W,-65.63333333333334,32.3,West of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,24/04/1873,Dredge,2650.0,2.5,36.5,,,20.0,68.0,,,67.2,,,66.2,,65.7,,,65.5,,65.3,,65.1,,,64.9,64.8,,,,,,64.3,,63.8,,63.2,57.7,50.4,43.9,41.0,39.8,39.3,39.0,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Globigerina ooze,33,3,0,N,66,32,0,W,-66.53333333333333,33.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,25/04/1873,,2600.0,2.5,36.5,,,21.11111111111111,70.0,1.02583,,69.0,,,68.0,,67.1,,,66.2,,66.0,,66.0,,,65.4,,64.8,,,64.2,,63.7,,63.5,,63.0,58.5,50.0,43.6,41.1,40.0,39.6,39.2,38.8,38.4,38.0,,37.7,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Red clay,34,3,0,N,67,32,0,W,-67.53333333333333,34.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,27/04/1873,,2850.0,2.5,36.5,,,18.333333333333332,65.0,1.02636,66.5,67.0,,66.2,65.2,64.7,64.2,64.1,,64.0,63.9,63.8,,,63.8,,,63.8,,,63.8,,,63.7,63.5,63.3,,62.5,56.5,48.7,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Globigerina ooze,34,51,0,N,68,30,0,W,-68.5,34.85,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,28/04/1873,Dredge,2675.0,,,,,20.833333333333332,69.5,1.02566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Blue mud,36,5,0,N,69,54,0,W,-69.9,36.083333333333336,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,29/04/1873,,,,,,,18.333333333333332,65.0,1.02637,,,64.9,,,64.8,,,64.7,,,64.5,,,64.3,,,64.1,,,63.8,,,63.5,63.1,62.6,,61.2,56.2,48.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Blue mud,35,58,0,N,70,35,0,W,-70.58333333333333,35.96666666666667,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,30/04/1873,,2425.0,2.666666666666665,36.8,2425.0,1.02872,18.333333333333332,65.0,1.02629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,39.2,38.8,38.5,38.2,,37.9,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,36,23,0,N,71,46,0,W,-71.76666666666667,36.38333333333333,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,01/05/1873,,2600.0,2.666666666666665,36.8,,,23.88888888888889,75.0,1.02455,,71.2,,,71.0,,71.0,,,68.0,,64.0,,,59.5,,,56.4,,,54.0,,,52.2,51,49.7,,47.7,44.8,42.9,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Blue mud,37,25,0,N,71,40,0,W,-71.66666666666667,37.416666666666664,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,02/05/1873,Dredge,1700.0,2.333333333333335,36.2,,,13.61111111111111,56.5,1.02583,,,54.8,,,52.5,,,50.4,,,48.2,,,46.0,,,44.5,,,43.2,,,42.0,,40.3,,39.5,39.0,38.7,38.4,38.2,38.0,37.8,37.6,37.4,37.2,37.0,,36.8,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Blue mud,38,34,0,N,72,10,0,W,-72.16666666666667,38.56666666666667,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,03/05/1873,Dredge,1240.0,2.8888888888888906,37.2,,,9.722222222222221,49.5,1.02618,,,,,,,,,,,,51.1,,,,,,,,,,,,43.5,,,,40.2,39.0,38.4,38.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Blue mud,40,17,0,N,66,48,0,W,-66.8,40.28333333333333,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,06/05/1873,Dredge,1350.0,2.8888888888888906,37.2,,,4.444444444444445,40.0,1.02586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Blue mud,41,14,0,N,65,45,0,W,-65.75,41.233333333333334,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,07/05/1873,Dredge,1340.0,,,,,5.555555555555555,42.0,1.0259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rock,43,4,0,N,64,5,0,W,-64.08333333333333,43.06666666666667,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,08/05/1873,Dredge,51.0,,,,,8.88888888888889,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Gravel and stones,43,3,0,N,63,39,0,W,-63.65,43.05,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,20/05/1873,Dredge,85.0,1.6666666666666665,35.0,85.0,1.02606,4.722222222222222,40.5,1.02534,,37.8,,,35.2,,35.2,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Blue mud,42,8,0,N,63,39,0,W,-63.65,42.13333333333333,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,21/05/1873,Dredge,1250.0,3.333333333333333,38.0,1250.0,1.0274,7.222222222222222,45.0,1.02602,,,,,,,,,,,,45.2,,,,,,,,,,,,41.3,,,,39.5,39.0,38.7,38.4,38.1,37.8,37.6,37.4,37.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Blue mud,41,19,0,N,63,12,0,W,-63.2,41.31666666666667,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,22/05/1873,,2020.0,2.2222222222222223,36.0,2020.0,1.02798,15.0,59.0,1.02636,,,,,,,,,,,,55.0,,,,,,,,,,,,47.0,,,,42.0,39.8,38.8,38.4,38.2,38.1,38.0,37.8,37.7,37.5,37.4,,37.3,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Blue mud,39,44,0,N,63,22,0,W,-63.36666666666667,39.733333333333334,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,23/05/1873,,2800.0,2.333333333333335,36.2,2800.0,1.02909,19.555555555555557,67.2,1.02619,,,,,,,,,,,,64.8,,,,,,,,,,,,63.8,,,,61.4,53.5,46.4,42.0,39.8,39.0,38.7,,38.1,,37.7,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52A,,38,16,0,N,63,17,0,W,-63.28333333333333,28.266666666666666,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,24/05/1873,,,,,,,22.77777777777778,73.0,,,,73.0,,,73.0,,,67.4,,,65.5,,,64.7,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
